id,review,Food,Service,Price,Eating Environment / Ambiance
3121,But the staff was so horrible to us.,Unknown,Negative,Unknown,Unknown
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",Positive,Unknown,Unknown,Unknown
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",Positive,Unknown,Unknown,Unknown
2534,Where Gabriela personaly greets you and recommends you what to eat.,Unknown,Positive,Unknown,Unknown
583,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",Unknown,Unknown,Unknown,Unknown
2846,"Not only was the food outstanding, but the little 'perks' were great.",Positive,Positive,Unknown,Unknown
1571,It is very overpriced and not very tasty.,Negative,Unknown,Negative,Unknown
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,Positive,Positive,Unknown,Unknown
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Positive,Unknown,Unknown,Unknown
2391,Nevertheless the food itself is pretty good.,Positive,Unknown,Unknown,Unknown
296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",Negative,Unknown,Unknown,Unknown
1793,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",Unknown,Unknown,Unknown,Unknown
2200,The design and atmosphere is just as good.,Unknown,Unknown,Unknown,Positive
3195,He has visited Thailand and is quite expert on the cuisine.,Positive,Unknown,Unknown,Unknown
3119,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,Unknown,Unknown,Unknown,Unknown
3359,The pizza is the best if you like thin crusted pizza.,Positive,Unknown,Unknown,Unknown
70,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,Unknown,Unknown,Unknown,Unknown
1829,"He can't help, they're bought up so fast.",Unknown,Unknown,Unknown,Unknown
2935,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",Unknown,Unknown,Unknown,Negative
1805,"i have eaten here a handful of times, for no reason besides sheer convenience.",Unknown,Unknown,Unknown,Unknown
2559,Obviously run by folks who know a pie.,Unknown,Positive,Unknown,Unknown
716,We were very disappointed.,Unknown,Unknown,Unknown,Unknown
2464,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,Unknown,Unknown,Positive,Unknown
385,I really liked this place.,Unknown,Unknown,Unknown,Unknown
1350,I will be going back very soon.,Unknown,Unknown,Unknown,Unknown
3534,"All the money went into the interior decoration, none of it went to the chefs.",Negative,Unknown,Unknown,Positive
1407,The seats are uncomfortable if you are sitting against the wall on wooden benches.,Unknown,Unknown,Unknown,Negative
565,"I asked for seltzer with lime, no ice.",Unknown,Unknown,Unknown,Unknown
387,It was pretty inexpensive too.,Unknown,Unknown,Positive,Unknown
1314,Will not be back.,Unknown,Unknown,Unknown,Unknown
675,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",Positive,Unknown,Unknown,Unknown
2227,My suggestion is to eat family style because you'll want to try the other dishes.,Unknown,Unknown,Unknown,Unknown
3367,"Best of all is the warm vibe, the owner is super friendly and service is fast.",Unknown,Positive,Unknown,Positive
1210,This isn't a value joint.,Unknown,Unknown,Negative,Unknown
2191,Faan's got a great concept but a little rough on the delivery.,Unknown,Negative,Unknown,Unknown
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",Positive,Positive,Unknown,Positive
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!",Positive,Unknown,Positive,Unknown
500,Look foward to trying the Ruben upon returning.,Unknown,Unknown,Unknown,Unknown
1108,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,Unknown,Unknown,Unknown,Unknown
3294,We usually go to the Chart House to celebrate a birthday or anniversary.,Unknown,Unknown,Unknown,Unknown
388,this little place has a cute interior decor and affordable city prices.,Unknown,Unknown,Positive,Positive
3070,You'll adore it.,Unknown,Unknown,Unknown,Unknown
3373,Two words: Free wine.,Unknown,Unknown,Positive,Unknown
425,The price is reasonable although the service is poor.,Unknown,Negative,Positive,Unknown
3192,"The quantity is also very good, you will come out satisfied.",Positive,Unknown,Unknown,Unknown
1098,I have been to Roth's twice and both times were very disappointing.,Unknown,Unknown,Unknown,Unknown
2173,Worth visiting the 1st Ave spot because it is the original store.,Unknown,Unknown,Unknown,Unknown
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",Unknown,Unknown,Unknown,Unknown
263,"Raga's is a romantic, cozy restaurant.",Unknown,Unknown,Unknown,Positive
2384,The fried rice is amazing here.,Positive,Unknown,Unknown,Unknown
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",Positive,Unknown,Unknown,Unknown
3404,it's a perfect place to have a amanzing indian food.,Positive,Unknown,Unknown,Unknown
2599,The place is so cool and the service is prompt and curtious.,Unknown,Positive,Unknown,Positive
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,Positive,Unknown,Unknown,Unknown
648,I just wonder how you can have such a delicious meal for such little money.,Positive,Unknown,Positive,Unknown
863,The food was delicious but do not come here on a empty stomach.,Unknown,Unknown,Unknown,Unknown
1623,The wine list is excellent.,Positive,Unknown,Unknown,Unknown
2177,so garantuan that you can't fit them in a toaster.,Positive,Unknown,Unknown,Unknown
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Positive,Unknown,Unknown,Unknown
1101,They wouldnt even let me finish my glass of wine before offering another.,Unknown,Positive,Unknown,Unknown
1823,I highly recommend the Sophia pizza.,Unknown,Unknown,Unknown,Unknown
324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",Unknown,Negative,Unknown,Unknown
2783,This is a consistently great place to dine for lunch or dinner.,Unknown,Unknown,Unknown,Unknown
2983,"Nice atmosphere, the service was very pleasant and the desert was good.",Positive,Positive,Unknown,Positive
66,All the people that I bring there go back on their own and bring THEIR friends!,Unknown,Unknown,Unknown,Unknown
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,Unknown,Unknown,Unknown,Unknown
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.",Positive,Positive,Unknown,Positive
2934,Not what I wanted to hear.,Unknown,Unknown,Unknown,Unknown
2787,Try the lasagnette appetizer.,Positive,Unknown,Unknown,Unknown
825,"Pricey, but worth a try, at least once.",Unknown,Unknown,Negative,Unknown
197,"I've been there a few times, and I usually end up sitting next to some pretty odd people.",Unknown,Unknown,Unknown,Unknown
604,I liked the beer selection!,Positive,Unknown,Unknown,Unknown
2911,"Great food, good size menu, great service and an unpretensious setting.",Positive,Positive,Unknown,Positive
3074,Go here for a romantic dinner but not for an all out wow dining experience.,Unknown,Unknown,Unknown,Unknown
1479,Can't wait to go back.,Unknown,Unknown,Unknown,Unknown
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,Unknown,Unknown,Unknown,Unknown
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,Positive,Unknown,Unknown,Unknown
728,"With the great variety on the menu , I eat here often and never get bored .",Positive,Unknown,Unknown,Unknown
2925,The menu is very limited - i think we counted 4 or 5 entrees.,Negative,Unknown,Unknown,Unknown
495,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",Unknown,Unknown,Unknown,Unknown
3436,The menu is limited but almost all of the dishes are excellent.,Unknown,Unknown,Unknown,Unknown
3273,Not too crazy about their sake martini.,Negative,Unknown,Unknown,Unknown
1215,"Great bagels, spreads and a good place to hang out in.",Positive,Unknown,Unknown,Unknown
183,"The service varys from day to day- sometimes they're very nice, and sometimes not.",Unknown,Unknown,Unknown,Unknown
2511,"whoever the jazz duo was, they were on POINT.",Unknown,Unknown,Unknown,Positive
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,Unknown,Positive,Unknown,Unknown
1562,This place is a great bargain.,Unknown,Unknown,Positive,Unknown
1712,We happened upon this place purely by accident and were pleased with the results.,Unknown,Unknown,Unknown,Unknown
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",Positive,Unknown,Unknown,Unknown
2052,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,Unknown,Unknown,Unknown,Unknown
3207,We always have a delicious meal and always leave feeling satisfied.,Positive,Unknown,Unknown,Unknown
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.",Unknown,Unknown,Unknown,Unknown
2972,First went here to enjoy their garden terrace.,Unknown,Unknown,Unknown,Positive
1903,"My husbands was perfect, my was well done and dry.",Unknown,Unknown,Unknown,Unknown
2549,"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.",Unknown,Positive,Unknown,Unknown
1755,The pizza was pretty good and huge.,Positive,Unknown,Unknown,Unknown
2890,Sapphire is the only Indian restaurant I go to when I'm in NYC.,Unknown,Unknown,Unknown,Unknown
2277,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",Unknown,Unknown,Unknown,Unknown
2308,I heartily recommend.,Unknown,Unknown,Unknown,Unknown
51,Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,Unknown,Unknown,Unknown,Unknown
3680,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,Unknown,Unknown,Unknown,Positive
3155,They are often crowded on the weekends but they are efficient and accurate with their service.,Unknown,Positive,Unknown,Negative
1688,All my co-workers were amazed at how small the dish was.,Negative,Unknown,Unknown,Unknown
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.",Positive,Positive,Unknown,Positive
2926,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",Negative,Unknown,Unknown,Unknown
3083,"The wait staff is friendly, and the food has gotten better and better!",Positive,Positive,Unknown,Unknown
1388,"This place, which is only a few months old, is perhaps Queens' biggest secret!",Unknown,Unknown,Unknown,Unknown
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",Positive,Unknown,Unknown,Unknown
1574,This place is so much fun.,Unknown,Unknown,Unknown,Unknown
498,I was glad I did.,Unknown,Unknown,Unknown,Unknown
2604,Right off the L in Brooklyn this is a nice cozy place with good pizza.,Positive,Unknown,Unknown,Positive
473,I've never been treated so rudely.,Unknown,Negative,Unknown,Unknown
380,I'll be back soon.,Unknown,Unknown,Unknown,Unknown
2960,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,Positive,Unknown,Unknown,Unknown
322,Went inside and I started to get excited.,Unknown,Unknown,Unknown,Unknown
1383,I also ordered for delivery and the restaurant forgot half the order.,Unknown,Negative,Unknown,Unknown
892,Our server checked on us maybe twice during the entire meal.,Unknown,Negative,Unknown,Unknown
2296,"However, it is jus too good to not praise it.",Unknown,Unknown,Unknown,Unknown
868,We have been to Montparnasse many times and return often for good reason.,Unknown,Unknown,Unknown,Unknown
2936,The strong scents coming from the left and right of me negatively affected my taste buds.,Unknown,Unknown,Unknown,Unknown
3423,We had the lobster sandwich and it was FANTASTIC.,Positive,Unknown,Unknown,Unknown
154,It's somewhere you can eat and be happy.,Unknown,Unknown,Unknown,Unknown
591,"If you wrote a bad review, it's because you don't understand what Rao's is all about.",Unknown,Unknown,Unknown,Unknown
1197,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",Unknown,Negative,Unknown,Unknown
2061,but overall i give it a 10,Unknown,Unknown,Unknown,Unknown
2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",Positive,Unknown,Positive,Unknown
2804,Deep Fried Skewers are good and still rare to find in NYC.,Positive,Unknown,Unknown,Unknown
194,"I have tried to make reservations, but both times, the hostess didn't have my name.",Unknown,Negative,Unknown,Unknown
148,I also recommend the rice dishes or the different varieties of congee (rice porridge).,Positive,Unknown,Unknown,Unknown
2747,Their tuna tartar appetizer is to die for.,Positive,Unknown,Unknown,Unknown
2845,This was one of the BEST restaurants I've ever been to.,Unknown,Unknown,Unknown,Unknown
187,This restaurant used to be pretty decent.,Unknown,Unknown,Unknown,Unknown
856,"An oasis of refinement: Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",Positive,Unknown,Unknown,Unknown
2033,"If you love wine and cheese and delicious french fare, you'll love Artisanal!",Positive,Unknown,Unknown,Unknown
1402,I love Indian food and consider myself to be quite an expert on it.,Positive,Unknown,Unknown,Unknown
439,Some baby pizzas get their wish.,Unknown,Unknown,Unknown,Unknown
3360,Plenty of choices to make your own creation.,Positive,Unknown,Unknown,Unknown
2949,It was tiny and I felt like I was eating in someone's living room.,Unknown,Unknown,Unknown,Negative
570,I was there on sat.,Unknown,Unknown,Unknown,Unknown
2053,Overall A oh ya even though there is waiting it is deff worth it,Unknown,Negative,Unknown,Unknown
3316,The lava cake dessert was incredible and I recommend it.,Positive,Unknown,Unknown,Unknown
433,VT is what baby pizzas hope to be when they grow up.,Unknown,Unknown,Unknown,Unknown
738,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",Negative,Negative,Unknown,Unknown
1549,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.,Positive,Unknown,Positive,Unknown
1798,The last time I went we were seated at a table in a corridor next to the kitchen.,Unknown,Unknown,Unknown,Unknown
2941,good selection of wines ranging from affordable to high end.,Positive,Unknown,Unknown,Unknown
362,"Nice restaurant overall, with classic upscale Italian decor.",Unknown,Unknown,Unknown,Positive
2921,Not impressed with the food.,Negative,Unknown,Unknown,Unknown
1909,The entire dining experience was wonderful!,Unknown,Unknown,Unknown,Unknown
1878,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,Positive,Unknown,Unknown,Unknown
858,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Unknown,Positive,Unknown,Unknown
3376,"Order the panang duck, it's fantastic.",Positive,Unknown,Unknown,Unknown
173,"Food is usually very good, though ocasionally I wondered about freshmess of raw vegatables in side orders.",Unknown,Unknown,Unknown,Unknown
1836,"Other than the crappy service from two individuals, it's great.",Unknown,Unknown,Unknown,Unknown
1703,What more can you ask for?,Unknown,Unknown,Unknown,Unknown
3564,Wondering who had the best deals we noticed a line had formed to wait for this one particular establishment.,Unknown,Unknown,Unknown,Unknown
1404,They have authentic Indian at amazin prices.,Positive,Unknown,Positive,Unknown
645,You are treated just like royality.,Unknown,Positive,Unknown,Unknown
3288,"There's nice and quiet, small but enough for 6 (or more).",Unknown,Unknown,Unknown,Unknown
