id,review,aspect,sentiment
3121,But the staff was so horrible to us.,Food,Unknown
3121,But the staff was so horrible to us.,Service,Negative
3121,But the staff was so horrible to us.,Price,Unknown
3121,But the staff was so horrible to us.,Eating Environment / Ambiance,Unknown
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",Food,Positive
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",Service,Unknown
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",Price,Unknown
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",Eating Environment / Ambiance,Unknown
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",Food,Positive
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",Service,Unknown
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",Price,Unknown
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",Eating Environment / Ambiance,Unknown
2534,Where Gabriela personaly greets you and recommends you what to eat.,Food,Unknown
2534,Where Gabriela personaly greets you and recommends you what to eat.,Service,Positive
2534,Where Gabriela personaly greets you and recommends you what to eat.,Price,Unknown
2534,Where Gabriela personaly greets you and recommends you what to eat.,Eating Environment / Ambiance,Unknown
583,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",Food,Unknown
583,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",Service,Unknown
583,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",Price,Unknown
583,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",Eating Environment / Ambiance,Unknown
2846,"Not only was the food outstanding, but the little 'perks' were great.",Food,Positive
2846,"Not only was the food outstanding, but the little 'perks' were great.",Service,Positive
2846,"Not only was the food outstanding, but the little 'perks' were great.",Price,Unknown
2846,"Not only was the food outstanding, but the little 'perks' were great.",Eating Environment / Ambiance,Unknown
1571,It is very overpriced and not very tasty.,Food,Negative
1571,It is very overpriced and not very tasty.,Service,Unknown
1571,It is very overpriced and not very tasty.,Price,Negative
1571,It is very overpriced and not very tasty.,Eating Environment / Ambiance,Unknown
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,Food,Positive
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,Service,Positive
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,Price,Unknown
